REFERENCE_COMPOUND_NAME,PUBCHEM_CID,CHEBI_ID,CHEBI_NAME,COMPOUND_ID,MolecularFormula,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,Fingerprint2D,inflammation,multiple_sclerosis,mental_health
DUKE:POLYGODIAL,PCID:72503,CHEBI:8305,Polygodial,PCID:72503,C15H22O2,CC1(CCCC2(C1CC=C(C2C=O)C=O)C)C,C[C@]12CCCC([C@@H]1CC=C([C@@H]2C=O)C=O)(C)C,"InChI=1S/C15H22O2/c1-14(2)7-4-8-15(3)12(10-17)11(9-16)5-6-13(14)15/h5,9-10,12-13H,4,6-8H2,1-3H3/t12-,13-,15+/m0/s1",AZJUJOFIHHNCSV-KCQAQPDRSA-N,"(1R,4aS,8aS)-5,5,8a-trimethyl-1,4,4a,6,7,8-hexahydronaphthalene-1,2-dicarbaldehyde",AAADceBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwQAAAAAAAAACAAAAAGgAAAAAADwCggAICAAAAAACIAihSgAAAAAAgAAAACAEAAEgAABIAAQAAAAAAgAAIAYMJiMCPgAAAAAAAAAAAAAQAACAAAAAAAAAAAA==,False,False,False
"DUKE:1,3,6,7-TETRAHYDROXYXANTHONE",PCID:5281656,CHEBI:7622,norathyriol,PCID:5281656,C13H8O6,C1=C(C=C2C(=C1O)C(=O)C3=CC(=C(C=C3O2)O)O)O,C1=C(C=C2C(=C1O)C(=O)C3=CC(=C(C=C3O2)O)O)O,"InChI=1S/C13H8O6/c14-5-1-9(17)12-11(2-5)19-10-4-8(16)7(15)3-6(10)13(12)18/h1-4,14-17H",ZHTQCPCDXKMMLU-UHFFFAOYSA-N,"1,3,6,7-tetrahydroxyxanthen-9-one",AAADccBwOAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADASAmAAwBoAABgCIAqBSAAACCAAkIAAAiAEGiMgNJzaGNRqCeWGl4BUJuYfK7PzOIQABCAAIQABCAAIQABCAAAAAAAAAAA==,False,False,True
DUKE:LUTEOLIN-7-O-RUTINOSIDE,PCID:14032966,CHEBI:NA,,PCID:14032966,C27H30O16,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O)O,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@@H]5[C@H](C([C@@H]([C@@H](O5)CO)O)O)O)O)O)O)O)O)O,"InChI=1S/C27H30O16/c28-7-17-20(33)22(35)24(37)26(42-17)39-8-18-21(34)23(36)25(38)27(43-18)40-10-4-13(31)19-14(32)6-15(41-16(19)5-10)9-1-2-11(29)12(30)3-9/h1-6,17-18,20-31,33-38H,7-8H2/t17-,18+,20+,21+,22?,23-,24-,25+,26-,27?/m0/s1",LDTDRTSKWGQBAA-XPKAMZHISA-N,"2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3S,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",AAADceB4PgAAAAAAAAAAAAAAAAAAAAAAAAA0aIECAAAAAACBQAAAGgAACAAADBSwmAMwDoAABgCIAqBSAAACCAAkIAAIiAEGiMgdNzaGNRqieWGl4BUPuQfI7LzOIAABCAAIQABAAAIQABCAAAAAAAAAAA==,False,False,False
DUKE:AMYL-PROPIONATE,PCID:12217,CHEBI:87373,pentyl propanoate,PCID:12217,C8H16O2,CCCCCOC(=O)CC,CCCCCOC(=O)CC,"InChI=1S/C8H16O2/c1-3-5-6-7-10-8(9)4-2/h3-7H2,1-2H3",TWSRVQVEYJNFKQ-UHFFFAOYSA-N,pentyl propanoate,AAADceBwMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACACggAICCAAABAAIAACQCAAAAAAAAAAAAAEAAAAAAAIAAAACAAAEAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:DIHYDROMETHYSTICIN,PCID:88308,CHEBI:4573,Dihydromethysticin,PCID:88308,C15H16O5,COC1=CC(=O)OC(C1)CCC2=CC3=C(C=C2)OCO3,COC1=CC(=O)O[C@H](C1)CCC2=CC3=C(C=C2)OCO3,"InChI=1S/C15H16O5/c1-17-12-7-11(20-15(16)8-12)4-2-10-3-5-13-14(6-10)19-9-18-13/h3,5-6,8,11H,2,4,7,9H2,1H3/t11-/m0/s1",RSIWXFIBHXYNFM-NSHDSACASA-N,"(2S)-2-[2-(1,3-benzodioxol-5-yl)ethyl]-4-methoxy-2,3-dihydropyran-6-one",AAADceBwOAAAAAAAAAAAAAAAAAAAASAAAAAwQAAAAAAAAEgBAAAAGgAAAAAADBSgmAMyDoAABACIAiDSCAACCAAgIAAIiAAGiMgdJiKEMRqiMCIlwBEOqQeAwPAOIAABAAAAQABAAAIAAACAAAAAAAAAAA==,True,True,True
DUKE:WITHANOLIDE Q,PCID:101281365,CHEBI:76344,withanolide saponin,PCID:101281365,C28H38O6,CC1=C(C(=O)OC(C1O)C(C)C2(CCC3C2(CCC4C3CC=C5C4(C(=O)C=CC5)C)C)O)CO,CC1=C(C(=O)O[C@H]([C@H]1O)[C@@H](C)[C@]2(CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(C(=O)C=CC5)C)C)O)CO,"InChI=1S/C28H38O6/c1-15-19(14-29)25(32)34-24(23(15)31)16(2)28(33)13-11-20-18-9-8-17-6-5-7-22(30)27(17,4)21(18)10-12-26(20,28)3/h5,7-8,16,18,20-21,23-24,29,31,33H,6,9-14H2,1-4H3/t16-,18+,20+,21+,23+,24+,26+,27+,28+/m1/s1",RCYHJRHAKWAKRC-UIRUAFKDSA-N,"(2S,3S)-3-hydroxy-2-[(1R)-1-[(8S,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1-oxo-7,8,9,11,12,14,15,16-octahydro-4H-cyclopenta[a]phenanthren-17-yl]ethyl]-5-(hydroxymethyl)-4-methyl-2,3-dihydropyran-6-one",AAADcfB4OAAAAAAAAAAAAAAAAAAAAYAAAAAwQIEAAAAAAGCAAAAAGgAACAAAD1SggAICCAAABgCIAqDSCAAAAAAgAAAICAEAAEgBFBYAIQACUAAF4AALMYPIyPCPgAAAAAAAAACAAAQAACAAAYAADAAAAA==,False,False,False
DUKE:FASTIGILIN-A,PCID:14845463,CHEBI:4982,Fastigilin B,PCID:14845463,C20H26O6,CC=C(C)C(=O)OC1C2C(C(=O)OC2C(C(C3C1(C(=O)C=C3)C)C)O)C,C/C=C(/C)\C(=O)O[C@H]1[C@@H]2[C@@H](C(=O)O[C@@H]2[C@@H]([C@H]([C@H]3[C@]1(C(=O)C=C3)C)C)O)C,"InChI=1S/C20H26O6/c1-6-9(2)18(23)26-17-14-11(4)19(24)25-16(14)15(22)10(3)12-7-8-13(21)20(12,17)5/h6-8,10-12,14-17,22H,1-5H3/b9-6-/t10-,11-,12-,14+,15+,16-,17-,20-/m0/s1",NOASRRBRAULRFQ-VYSJWHJTSA-N,"[(1S,3aS,4R,5S,5aS,8aR,9S,9aS)-4-hydroxy-1,5,8a-trimethyl-2,8-dioxo-3a,4,5,5a,9,9a-hexahydro-1H-azuleno[6,5-b]furan-9-yl] (Z)-2-methylbut-2-enoate",AAADceB4OAAAAAAAAAAAAAAAAAAAASIAAAAAAAAABgAAAACQAAAAGgAACAAADxSggAICCAAABgCIAqDSCAAAAAAgAAAICAEAAEgBFBYAIQACUAAFoAALIYPK7PzPgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:N-HEPTAN-1-OL,PCID:8129,CHEBI:43003,1-heptanol,PCID:8129,C7H16O,CCCCCCCO,CCCCCCCO,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,AAADceBgIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACggAICAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAEAIAAAAAQAAEAAAAAAGAwCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:GLEPIDOTIN-B,PCID:442411,CHEBI:5381,glepidotin B,PCID:442411,C20H20O5,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(C(O2)C3=CC=CC=C3)O)C,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)[C@@H]([C@H](O2)C3=CC=CC=C3)O)C,"InChI=1S/C20H20O5/c1-11(2)8-9-13-14(21)10-15(22)16-17(23)18(24)19(25-20(13)16)12-6-4-3-5-7-12/h3-8,10,18-19,21-22,24H,9H2,1-2H3/t18-,19+/m0/s1",ATJOIGKHVRPLSM-RBUKOAKNSA-N,"(2R,3R)-3,5,7-trihydroxy-8-(3-methylbut-2-enyl)-2-phenyl-2,3-dihydrochromen-4-one",AAADceB4OAAAAAAAAAAAAAAAAAAAAAAAAAA0YIAAAAAAAACRQAAAGgAACAAADBSgmAIyBoAABgCIAqBSAAICCAAkIAAIiAFGCMgNNzaGNRqCeWCl4BULuQfI7PzOIAACCAAIAABAAAQQABAAAAAAAAAAAA==,False,False,False
DUKE:VULGAROL,PCID:85910272,CHEBI:169590,Vulgarole,PCID:85910272,C15H24O,CC1=CC(C2C3C1C2(CCCC3(C)C)C)O,CC1=CC(C2C3C1C2(CCCC3(C)C)C)O,"InChI=1S/C15H24O/c1-9-8-10(16)12-13-11(9)15(12,4)7-5-6-14(13,2)3/h8,10-13,16H,5-7H2,1-4H3",XQPMEWZJPNAPBK-UHFFFAOYSA-N,"2,6,6,11-tetramethyltricyclo[5.4.0.02,8]undec-10-en-9-ol",AAADceBwIAAAAAAAAAAAAAAAAABgAAAAAAAgQAAABgwAAAAAAAAAGgAACAAADxSggAICAAAAAgCAAiBCAAAAAAAgAAAACAAAAAgAFAIAAQAAUAAEgAAIEAOAwPAPgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:GLUCOSAN,PCID:2724705,CHEBI:30997,levoglucosan,PCID:2724705,C6H10O5,C1C2C(C(C(C(O1)O2)O)O)O,C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,"InChI=1S/C6H10O5/c7-3-2-1-10-6(11-2)5(9)4(3)8/h2-9H,1H2/t2-,3-,4+,5-,6-/m1/s1",TWNIBLMWSKIRAT-VFUOTHLCSA-N,"(1R,2S,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol",AAADccBgOAAAAAAAAAAAAAAAAAAAASAAAAAkAAAABIAAAAAAAAAAGgAACAAACBSwgAMACAAABgAAAAAAAAAAAAAAAAAAAAAAAAAREAIAAAAiQAAFAAAHAAHAYAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CYCLOSEYCHELLENE,PCID:91711829,CHEBI:NA,,PCID:91711829,C15H24,CC1CCC2(C3(C1CC4C2(C4C3)C)C)C,CC1CCC2(C3(C1CC4C2(C4C3)C)C)C,"InChI=1S/C15H24/c1-9-5-6-14(3)13(2)8-12-11(7-10(9)13)15(12,14)4/h9-12H,5-8H2,1-4H3",XPWRIXBORAHMCD-UHFFFAOYSA-N,"4,7,8,11-tetramethyltetracyclo[5.4.0.03,5.04,8]undecane",AAADceBwAAAAAAAAAAAAAAAAGAAAAYAAAAAwYAAAAAAYAAAAAAAAGAAAAAAADwCAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAEAgMAPgAAAAAAAAACAAAQAACAAAQAACAAAAA==,False,False,False
DUKE:CHAMOMILLOL,PCID:91747197,CHEBI:NA,,PCID:91747197,C15H26O,CC1CCC(C2C1CCC(=C2)C)(C(C)C)O,CC1CC[C@@](C2C1CCC(=C2)C)(C(C)C)O,"InChI=1S/C15H26O/c1-10(2)15(16)8-7-12(4)13-6-5-11(3)9-14(13)15/h9-10,12-14,16H,5-8H2,1-4H3/t12?,13?,14?,15-/m0/s1",MUROKQYXIPVTGD-BOADVZGGSA-N,"(1S)-4,7-dimethyl-1-propan-2-yl-3,4,4a,5,6,8a-hexahydro-2H-naphthalen-1-ol",AAADceBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwQAAAAAAAAACAAAAAGgAACAAADUSAgAACAAAAAgCAAiBCAAAAAAAgAAAACAAAAAgAAAIAAQAAQAAEwAAIAAOAwPAOgAAAAAAAAADAAAYAADAAAAAAAAAAAA==,False,False,False
DUKE:CUMIC-ALCOHOL,PCID:325,CHEBI:27628,4-isopropylbenzyl alcohol,PCID:325,C10H14O,CC(C)C1=CC=C(C=C1)CO,CC(C)C1=CC=C(C=C1)CO,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",OIGWAXDAPKFNCQ-UHFFFAOYSA-N,(4-propan-2-ylphenyl)methanol,AAADccBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADQCgmAIyAIAAAgCAAiBCAAACAAAgAAAIiAAACIgINiKAERCAcAAkwAEImAeAwPAOwAAAAAAAAACAAAAAAAAAAAAAAAAAAA==,False,False,False
DUKE:CYCLOGALLIPHARIC-ACID,PCID:167551,CHEBI:2696,anacardic acid,PCID:167551,C22H36O3,CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,"InChI=1S/C22H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h15,17-18,23H,2-14,16H2,1H3,(H,24,25)",ADFWQBGTDJIESE-UHFFFAOYSA-N,2-hydroxy-6-pentadecylbenzoic acid,AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASAmAAyDoAAAgCIAiDSCAACAAAkIAAIiAEGCMgIJzaCFRKAcUAl4BEImQeIyPCOgAABAAAYAAAAAAIAADAAAAAAAAAAAA==,False,False,False
DUKE:TETRAHYDROPAPAVERINE,PCID:5418,CHEBI:134211,(R)-tetrahydropapaverine(1+),PCID:5418,C20H25NO4,COC1=C(C=C(C=C1)CC2C3=CC(=C(C=C3CCN2)OC)OC)OC,COC1=C(C=C(C=C1)CC2C3=CC(=C(C=C3CCN2)OC)OC)OC,"InChI=1S/C20H25NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-6,10-12,16,21H,7-9H2,1-4H3",YXWQTVWJNHKSCC-UHFFFAOYSA-N,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline",AAADceB6OAAAAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAACxQAAAHgAQAAAADCzBmAYyBoLABACAAiBCAACCCAAgIAAIiIAOjIgNJiKEsRuEMCpk0BGKqAew0PMOoAABAAAQQABAAAIAACCAAAAAAAAAAA==,False,False,False
DUKE:TRACHINOL,PCID:101306893,CHEBI:NA,,PCID:101306893,C20H32O,CC1(CCCC2(C1CC(C34C2CC5C(C3)C5(C4)C)O)C)C,C[C@@]12CCCC([C@H]1C[C@@H]([C@]34[C@H]2C[C@@H]5[C@H](C3)[C@@]5(C4)C)O)(C)C,"InChI=1S/C20H32O/c1-17(2)6-5-7-18(3)14(17)9-16(21)20-10-13-12(8-15(18)20)19(13,4)11-20/h12-16,21H,5-11H2,1-4H3/t12-,13+,14-,15+,16+,18-,19-,20-/m1/s1",UVFHBTUJPNFSJH-IYZAZOHWSA-N,"(1R,2S,4R,9R,10S,12R,13R,14S)-5,5,9,13-tetramethylpentacyclo[11.2.1.01,10.04,9.012,14]hexadecan-2-ol",AAADcfB4IAAAAAAAAAAAAAAAGAAAAYAAAAAwYMGAAAAAAADAAAAAGgAACAAADxSggAICAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAEAIAAAAAQAAEAAAAAAGAwPAPgAAAAAAAAADAAAYAADAAAQAACAAAAA==,False,False,False
